ticker,entry_dt,exit_dt,entry,exit,reason,lot_rub,pnl_rub,pnl_pct,hold_d,win
OZON,2024-04-27,2024-05-17,4228.4228,4509.549,TIME,15038.9,672.4947773271267,4.471701901915211,20,True
NLMK,2024-04-30,2024-05-20,239.62395999999998,252.67472999999998,TIME,22455.32,722.7612619317321,3.218663826352651,20,True
SNGSP,2024-05-17,2024-05-24,72.48724800000001,70.0611330561188,SL,22047.52,-759.5989419914367,-3.4452806573775043,7,False
ALRS,2024-05-17,2024-05-27,81.018101,78.44404026292574,SL,22073.68,-723.0353516915646,-3.2755541970870494,10,False
AFLT,2024-05-20,2024-05-27,58.0058,55.01215383943853,SL,14413.67,-757.9229939154096,-5.258362331837829,7,False
CHMF,2024-05-23,2024-05-27,2002.2002,1955.3129251097205,SL,22492.26,-548.949842580841,-2.4406166502647624,4,False
SBERP,2024-05-17,2024-05-31,322.852282,314.71802505,SL,22073.68,-577.9415442376769,-2.618238301169886,14,False
AFLT,2024-06-27,2024-07-01,64.35643499999999,61.96960242,SL,19357.67,-736.9302898968907,-3.8069162760646855,4,False
TATN,2024-10-03,2024-10-08,649.6649600000001,633.39415425,SL,21260.94,-553.4732029024109,-2.6032395693812735,5,False
LKOH,2024-09-27,2024-10-17,6908.6908,6981.3018,TIME,21260.94,202.0818422942702,0.950484043952291,20,True
AFLT,2024-10-16,2024-10-28,57.555755,54.49659821224281,SL,13253.11,-717.3194495812457,-5.412461298376349,12,False
PLZL,2024-10-25,2024-10-28,1485.1485,1433.78300736,SL,20446.32,-727.2511828304486,-3.556880567409923,3,False
