ticker,entry_dt,exit_dt,entry,exit,reason,pos_rub,pnl_rub,pnl_pct,hold_days,win,tp_levels,risk_pct,capital_after
AFLT,2024-05-16,2024-05-28,56.925692,54.05860838301748,SL,23525.29,-1207.79,-5.134,8,False,0,0.01,114538.51327446914
SBER,2024-05-17,2024-05-31,322.99229599999995,314.80576627500005,SL,35478.77,-934.27,-2.633,10,False,0,0.01,113604.24284657514
TATN,2024-10-03,2024-10-08,649.6649600000001,622.0623331586211,SL,26798.69,-1164.84,-4.347,3,False,0,0.01,112439.404661898
AFLT,2024-10-16,2024-10-28,57.555755,54.49659821224281,SL,21192.39,-1147.03,-5.412,8,False,0,0.01,111292.37475494703
PLZL,2024-10-25,2024-10-29,1485.1485,1419.5232755758725,SL,25501.05,-1151.77,-4.517,2,False,0,0.01,110140.60560903861
PLZL,2024-10-30,2024-11-06,1462.1462,1463.4619853653796,SL,21574.46,343.32,1.591,5,True,1,0.01,110483.92837279517
SNGSP,2024-11-20,2024-11-21,58.535853,56.28703861592709,SL,28830.75,-1135.89,-3.94,1,False,0,0.01,109348.03956384865
RUAL,2024-11-11,2024-11-25,38.593859,36.08865133584233,SL,17045.11,-1122.93,-6.588,10,False,0,0.01,108225.11412614402
SNGSP,2024-11-28,2024-12-04,59.20592,56.34396487330008,SL,22432.95,-1106.28,-4.931,4,False,0,0.01,107118.83693875403
OZPH,2024-12-27,2024-12-30,34.853485,37.85728289309999,SL,13200.45,1768.99,13.401,2,True,2,0.01,108887.83003518605
TATNP,2024-12-27,2025-01-09,631.0631,631.6309936836899,SL,18563.54,372.0,2.004,6,True,1,0.01,109259.83456195395
CHMF,2025-01-03,2025-01-09,1330.133,1239.709532409163,SL,16039.44,-1105.87,-6.895,3,False,0,0.01,108153.96680243728
ROSN,2024-12-26,2025-01-10,583.8583799999999,549.1577522668405,SL,18051.94,-1090.4,-6.04,8,False,0,0.01,107063.56501798282
PHOR,2024-12-25,2025-01-27,6355.6355,7089.291,TIME,17327.08,1801.63,10.398,20,True,1,0.01,108865.19474634976
SBER,2024-12-26,2025-01-28,272.0272,275.22247500000003,TIME,18318.45,196.75,1.074,20,True,0,0.01,109061.94015423268
TGKA,2025-01-09,2025-02-05,0.007750775,0.00717339007580508,SL,14536.58,-1096.88,-7.546,19,False,0,0.01,107965.05948086361
AFLT,2025-01-13,2025-02-10,61.50615,64.31356799999999,TIME,14808.44,660.78,4.462,20,True,0,0.01,108625.83704758677
PHOR,2025-01-30,2025-02-12,7077.7077,6741.0,SL,22958.96,-1114.64,-4.855,9,False,0,0.01,107511.19788346023
TATN,2025-02-13,2025-02-14,735.6735600000001,705.280815143607,SL,26084.23,-1103.16,-4.229,1,False,0,0.01,106408.03952088996
PLZL,2025-01-22,2025-02-19,1580.158,1874.662515,TIME,25149.94,3192.37,12.693,20,True,2,0.01,109600.41300399986
SNGS,2025-01-27,2025-02-24,28.50285,28.9971,TIME,17075.59,278.87,1.633,20,True,0,0.01,109879.28643496869
NVTK,2025-02-24,2025-02-27,1323.1323,1237.6702529499753,SL,17036.3,-1116.87,-6.556,3,False,0,0.01,108762.4137137565
YDEX,2025-02-13,2025-02-28,4560.456,4304.394955082068,SL,19180.03,-1095.56,-5.712,11,False,0,0.01,107666.84945943867
AFLT,2025-02-17,2025-02-28,70.62706200000001,70.69061929309379,SL,11425.63,280.07,2.451,9,True,1,0.01,107946.92092880134
SBER,2025-02-13,2025-03-03,315.641561,301.4387061322301,SL,23943.91,-1100.8,-4.597,14,False,0,0.01,106846.11679266149
GMKN,2025-02-20,2025-03-13,139.073906,129.12897191364675,SL,15346.89,-1112.23,-7.247,17,False,0,0.01,105733.88910048014
GAZP,2025-05-02,2025-05-03,149.71497,139.3689874981545,SL,15321.21,-1073.56,-7.007,1,False,0,0.01,104660.33227060981
TATN,2025-04-29,2025-05-05,725.47254,688.9928419175134,SL,21067.11,-1079.88,-5.126,5,False,0,0.01,103580.45520018815
