strategy,ticker,entry_dt,exit_dt,entry,exit,reason,pos_rub,pnl_rub,pnl_pct,hold_d,win
APEX_v4,MGNT,2024-04-16,2024-05-15,8249.6496,8288.342,TIME,27233.15,100.43,0.369,20,True
APEX_v4,ALRS,2024-05-17,2024-05-27,81.026202,78.41669476058212,SL,28198.9,-935.91,-3.319,6,False
APEX_v4,AFLT,2024-05-20,2024-05-27,58.0116,54.62709245209133,SL,16163.48,-958.7,-5.931,5,False
APEX_v4,CHMF,2024-05-23,2024-05-27,2002.4004,1955.45883,SL,28198.9,-688.93,-2.443,2,False
APEX_v4,RUAL,2024-11-18,2024-11-21,38.95779,36.98398157537931,SL,18110.37,-935.22,-5.164,3,False
APEX_v4,PHOR,2024-12-03,2024-12-05,5851.17,5469.543246027312,SL,13912.07,-920.84,-6.619,2,False
APEX_v4,PHOR,2024-12-24,2025-01-24,6298.2594,7013.597,TIME,11778.22,1244.79,10.569,20,True
APEX_v4,T,2025-01-13,2025-02-10,2968.19352,3121.3756,TIME,11927.35,641.62,5.379,20,True
APEX_v4,AFLT,2025-01-13,2025-02-10,61.512299999999996,64.307136,TIME,12557.83,557.73,4.441,20,True
APEX_v4,SNGS,2025-01-21,2025-02-18,26.015202000000002,29.4941,TIME,13174.64,1538.08,11.675,20,True
APEX_v4,OZPH,2025-02-10,2025-02-27,48.719742,53.68029622406882,SL,8766.76,1389.96,15.855,13,True
APEX_v4,VTBR,2025-02-18,2025-02-28,99.74994600000001,88.61353232997567,SL,8391.73,-944.8,-11.259,8,False
APEX_v4,AFLT,2025-02-13,2025-03-11,69.403878,74.68506000000001,TIME,13531.98,1036.08,7.657,20,True
APEX_v4,OZON,2025-02-13,2025-03-13,4050.81,3949.21,TIME,10544.57,-274.88,-2.607,20,False
APEX_v4,VTBR,2025-06-23,2025-07-02,102.440484,102.52241589910318,SL,19616.67,283.46,1.445,9,True
APEX_v4,SBER,2025-07-04,2025-07-08,318.91377,311.12851185000005,SL,28508.64,-724.11,-2.54,4,False
APEX_v4,OZON,2025-07-22,2025-07-30,4246.8492,4041.388631899079,SL,19569.68,-965.87,-4.936,6,False
APEX_v4,GMKN,2025-07-30,2025-08-21,122.92458,123.022895079084,SL,17547.08,325.74,1.856,18,True
APEX_v4,PHOR,2025-07-30,2025-08-23,6582.3162,7046.5904,TIME,24544.79,1521.94,6.201,20,True
APEX_v4,OZPH,2025-08-29,2025-09-02,58.701738,55.99851544961743,SL,20756.2,-976.1,-4.703,4,False
APEX_v4,LKOH,2025-09-11,2025-09-15,6538.8075,6372.7876875,SL,28263.12,-745.5,-2.638,4,False
APEX_v4,PHOR,2025-09-30,2025-10-01,7279.4556,7086.153577159363,SL,28039.47,-772.24,-2.754,1,False
APEX_v4,SBER,2025-11-20,2025-12-14,304.820952,304.709046,TIME,27807.79,-38.01,-0.137,20,False
APEX_v4,GAZP,2025-11-29,2025-12-21,127.72554,127.52449,TIME,24153.39,-62.15,-0.257,20,False
APEX_v4,YDEX,2025-12-19,2025-12-29,4493.8985999999995,4497.4928201002795,SL,27796.39,306.68,1.103,10,True
APEX_v4,GMKN,2025-12-10,2025-12-30,138.00759599999998,148.67025999999998,TIME,20362.96,1401.6,6.883,20,True
APEX_v4,NVTK,2026-01-22,2026-01-24,1243.2486,1196.4253550961662,SL,25167.33,-972.55,-3.864,2,False
APEX_v4,GMKN,2026-01-13,2026-02-02,156.25124399999999,159.4681,TIME,26287.76,706.3,2.687,20,True
APEX_v4,T,2026-01-22,2026-02-11,3342.6684,3295.3408,TIME,28290.23,-428.64,-1.515,20,False
APEX_v4,MAGN,2026-02-16,2026-02-27,32.956590000000006,31.120014568952715,SL,16854.32,-955.63,-5.67,11,False
APEX_v4,GMKN,2026-02-28,2026-03-03,164.972988,159.4549841174686,SL,27795.07,-957.02,-3.443,3,False
APEX_v4,SNGS,2026-03-03,2026-03-04,23.05461,22.221538905711192,SL,25511.53,-946.9,-3.712,1,False
APEX_v4,VTBR,2026-02-16,2026-03-10,87.86756999999999,86.062784,TIME,18428.47,-396.76,-2.153,20,False
APEX_v4,NVTK,2026-03-06,2026-03-10,1312.36242,1313.4120474635158,SL,19910.27,301.96,1.517,2,True
APEX_v4,RUAL,2026-03-03,2026-03-18,41.028204,42.61225553301105,SL,25370.79,1511.34,5.957,13,True
