ticker,entry_dt,exit_dt,entry,exit,reason,pos_size_rub,pnl_rub,pnl_pct,hold_days,win,tp_levels,risk_pct,capital_after
VTBR,2024-01-12,2024-02-09,126.31263,121.367862,TIME,10883.34,-436.72,-4.013,20,False,0,0.005,109731.4086355903
PLZL,2024-02-01,2024-02-09,1142.1142,1106.8987613829695,SL,17888.07,-569.17,-3.182,6,False,0,0.005,109162.24358913154
SNGSP,2024-02-16,2024-02-19,60.256025,60.3102493968975,SL,16390.69,199.0,1.214,1,True,1,0.005,109361.24406621643
SNGSP,2024-02-19,2024-02-21,60.41604099999999,58.34512445472939,SL,15997.37,-564.07,-3.526,2,False,0,0.005,108797.16951246471
CHMF,2024-04-01,2024-04-08,1877.98778,1807.5161443710654,SL,14533.88,-559.65,-3.851,5,False,0,0.005,108237.52336209262
ALRS,2024-03-21,2024-04-09,77.127712,77.1971192280288,SL,15195.06,207.74,1.367,13,True,1,0.005,108445.25900812479
RUAL,2024-04-09,2024-04-10,39.333932999999995,39.36932960630669,SL,9725.3,196.7,2.023,1,True,1,0.005,108641.95544770542
PLZL,2024-04-09,2024-04-22,1348.1348,1401.2259868980946,SL,10058.26,559.24,5.56,9,True,2,0.005,109201.19428593782
GMKN,2024-04-10,2024-04-23,164.0164,157.25978616878655,SL,13217.15,-557.42,-4.217,9,False,0,0.005,108643.77224600014
AFLT,2024-04-01,2024-04-27,45.784578,52.174782,TIME,9241.18,701.14,7.587,20,True,2,0.005,109344.91024475386
IRAO,2024-05-13,2024-05-15,4.5504549999999995,4.383620047298854,SL,14951.3,-562.84,-3.765,2,False,0,0.005,108782.06818908075
AFLT,2024-05-16,2024-05-21,56.925692,56.976919430230794,SL,9797.88,199.46,2.036,3,True,1,0.005,108981.53207399692
ALRS,2024-05-21,2024-05-27,81.458145,78.61285584940165,SL,15643.46,-561.79,-3.591,4,False,0,0.005,108419.74418691339
AFLT,2024-05-21,2024-05-27,58.10581,54.77749970735722,SL,9528.71,-555.06,-5.825,4,False,0,0.005,107864.68231393324
TATN,2024-10-03,2024-10-09,649.6649600000001,618.9987001762456,SL,11448.68,-551.59,-4.818,4,False,0,0.005,107313.08960119788
SNGSP,2024-11-28,2024-12-04,59.20592,56.02950741477787,SL,10018.85,-547.26,-5.462,4,False,0,0.005,106765.8256711647
TATNP,2024-12-24,2025-01-09,634.56345,635.1344936486549,SL,7648.72,202.24,2.644,9,True,1,0.005,106968.06829530545
ROSN,2024-12-23,2025-01-10,562.0562,562.5619943743799,SL,7949.84,194.74,2.45,11,True,1,0.005,107162.81191908714
T,2025-01-13,2025-01-20,2967.89676,2970.567570294324,SL,6772.52,148.19,2.188,5,True,1,0.005,107311.00682262662
PHOR,2024-12-25,2025-01-27,6355.6355,7089.291,TIME,7702.16,666.77,8.657,20,True,1,0.005,107977.7783771787
TGKA,2025-01-09,2025-02-05,0.007750775,0.0071171854175612,SL,6550.12,-541.72,-8.27,19,False,0,0.005,107436.05432272362
PLZL,2025-01-22,2025-02-12,1580.158,1841.139344373,TP3,11346.3,865.08,7.624,15,True,3,0.005,108301.13711842656
SNGS,2025-01-27,2025-02-13,28.50285,28.528499714714993,SL,7622.57,210.95,2.767,13,True,1,0.005,108512.08289933713
NVTK,2025-02-13,2025-02-26,1278.32782,1279.4781872052179,SL,8152.48,209.12,2.565,9,True,1,0.005,108721.20788641398
SBER,2025-02-13,2025-03-11,315.641561,317.66823,TIME,11002.5,59.61,0.542,20,True,0,0.005,108780.8148346408
