ticker,entry_dt,exit_dt,entry,exit_price,reason,pos_rub,pnl_rub,pnl_pct,hold_days,win
SBER,2023-08-03,2023-08-08,269.0269,260.2176145667347,SL,33877.85,-1142.65,-3.373,3,False
GMKN,2023-08-04,2023-08-08,166.51665,160.04991072403826,SL,29029.34,-1155.83,-3.982,2,False
ALRS,2023-08-14,2023-08-15,92.90929,87.37820728913617,SL,18533.43,-1121.32,-6.05,1,False
SBER,2023-08-09,2023-08-16,265.496547,254.87328478667507,SL,27597.16,-1131.28,-4.099,5,False
OZON,2023-07-25,2023-08-22,2247.72475,2848.7151,TIME,19668.91,3316.63,16.862,20,True
MTLR,2023-08-09,2023-08-23,226.0226,209.12,SL,14738.76,-1116.39,-7.575,10,False
ROSN,2023-08-03,2023-08-31,522.802275,557.04429,TIME,33877.85,1908.04,5.632,20,True
TATN,2023-08-04,2023-09-01,547.95479,590.9409,TIME,32045.2,2125.08,6.632,20,True
IRAO,2023-09-07,2023-09-08,4.5504549999999995,4.342378765851858,SL,25013.64,-1168.23,-4.67,1,False
LKOH,2023-08-31,2023-09-11,6859.18585,6532.330810348293,SL,23553.82,-1145.38,-4.863,7,False
SNGSP,2023-10-02,2023-10-11,58.50585,54.82199131541933,SL,17786.35,-1137.16,-6.393,7,False
TATNP,2023-10-10,2023-10-11,643.56435,622.8847236916087,SL,33547.86,-1111.0,-3.312,1,False
LKOH,2023-10-13,2023-10-27,7143.7143,7150.142928498569,SL,25447.02,353.66,1.39,10,True
MGNT,2023-10-20,2023-10-31,5794.5794,5799.793942002059,SL,24852.39,385.71,1.552,7,True
MTLR,2023-10-11,2023-11-08,233.283326,293.88060900000005,TIME,19474.54,3382.37,17.368,20,True
ROSN,2023-10-30,2023-11-17,593.309325,569.0285381117769,SL,26925.29,-1128.27,-4.19,14,False
MTLR,2023-11-15,2023-11-20,315.0315,315.31499684684997,SL,16013.75,407.57,2.545,3,True
MTLR,2023-11-22,2023-11-27,327.582755,301.6053785843446,SL,14263.57,-1144.8,-8.026,3,False
OZON,2023-11-22,2023-11-28,2998.2998,2847.188772648128,SL,22459.29,-1153.82,-5.137,4,False
SBER,2023-11-13,2023-11-30,280.42803999999995,272.7517478568724,SL,34109.94,-967.35,-2.836,13,False
OZON,2023-11-28,2023-12-01,2909.2909,2756.723342284548,SL,21143.72,-1129.4,-5.342,3,False
CHMF,2024-01-09,2024-01-11,1469.1469,1470.46898529531,SL,28605.81,364.17,1.273,2,True
ALRS,2023-12-19,2024-01-18,72.797279,73.382661,TIME,19547.13,137.56,0.704,20,True
MGNT,2023-12-22,2024-01-23,6706.17055,6889.81095,TIME,24316.72,829.33,3.411,20,True
OZON,2024-01-11,2024-01-24,2907.2907,2777.9677143989284,SL,24545.14,-1115.82,-4.546,9,False
TATN,2023-12-27,2024-01-26,699.9699899999999,689.13108,TIME,28182.99,-464.37,-1.648,20,False
VTBR,2024-01-09,2024-02-06,124.58245699999999,122.317767,TIME,24683.07,-473.15,-1.917,20,False
CHMF,2024-01-11,2024-02-08,1444.1444,1590.04098,TIME,28307.64,2461.96,8.697,20,True
PLZL,2024-02-01,2024-02-09,1142.1142,1110.3274722446727,SL,32500.37,-936.58,-2.882,6,False
AFLT,2024-02-05,2024-02-16,39.813981,38.33503863353315,SL,29240.09,-1114.86,-3.813,9,False
MGNT,2024-02-16,2024-02-21,7485.24845,7232.514657178128,SL,32159.08,-1117.44,-3.475,3,False
LKOH,2024-02-06,2024-03-06,7145.7145,7498.75005,TIME,32358.43,1375.9,4.252,20,True
SBER,2024-02-13,2024-03-14,287.548752,298.47015,TIME,32816.04,1133.13,3.453,20,True
OZON,2024-03-05,2024-03-14,3395.3395,3223.2645762182715,SL,21183.14,-1094.2,-5.165,6,False
TATN,2024-03-12,2024-03-15,751.17511,732.9577007426667,SL,32559.12,-821.78,-2.524,3,False
TATNP,2024-03-15,2024-03-18,745.27452,724.7258304433307,SL,32324.26,-923.12,-2.856,1,False
CHMF,2024-03-11,2024-04-08,1706.5706400000001,1817.61822,TIME,32559.12,2038.75,6.262,20,True
ALRS,2024-03-12,2024-04-09,75.197519,78.19218000000001,TIME,32559.12,1246.41,3.828,20,True
OZON,2024-03-21,2024-04-18,3500.35,3901.6098,TIME,24628.97,2528.91,10.268,20,True
IRAO,2024-04-03,2024-04-24,4.290429,4.16036199831252,SL,32047.33,-1003.1,-3.13,15,False
PLZL,2024-04-09,2024-04-24,1348.1348,1349.3479865065199,SL,22603.66,371.21,1.642,11,True
SNGSP,2024-04-01,2024-04-27,67.386738,66.523347,TIME,26856.23,-370.78,-1.381,20,False
AFLT,2024-04-01,2024-04-27,45.784578,52.174782,TIME,19913.55,2268.44,11.391,20,True
LKOH,2024-04-30,2024-05-06,8153.31525,7947.40518,SL,34171.28,-896.73,-2.624,3,False
RUAL,2024-04-09,2024-05-07,39.333932999999995,42.345765,TIME,21784.59,1512.1,6.941,20,True
IRAO,2024-05-10,2024-05-14,4.4104410000000005,4.414409955855899,SL,34355.89,328.35,0.956,2,True
SNGSP,2024-05-16,2024-05-24,72.617261,70.02299378351255,SL,32234.61,-1183.25,-3.671,6,False
CHMF,2024-05-14,2024-05-27,1975.59754,1922.4058828949896,SL,34454.4,-961.65,-2.791,9,False
ALRS,2024-05-17,2024-05-27,81.018101,78.44404026292574,SL,34454.4,-1128.57,-3.276,6,False
OZON,2024-04-27,2024-05-28,4228.4228,4343.0656500000005,TIME,22885.38,818.56,3.577,20,True
AFLT,2024-05-16,2024-05-28,56.925692,54.05860838301748,SL,22846.05,-1172.92,-5.134,8,False
SBER,2024-05-17,2024-05-31,322.99229599999995,314.80576627500005,SL,34454.4,-907.3,-2.633,10,False
TATN,2024-10-03,2024-10-08,649.6649600000001,622.0623331586211,SL,26022.27,-1131.09,-4.347,3,False
AFLT,2024-10-16,2024-10-28,57.555755,54.49659821224281,SL,20578.4,-1113.8,-5.412,8,False
PLZL,2024-10-25,2024-10-29,1485.1485,1419.5232755758725,SL,24762.23,-1118.4,-4.517,2,False
PLZL,2024-10-30,2024-11-06,1462.1462,1463.4619853653796,SL,20949.4,333.38,1.591,5,True
SNGSP,2024-11-20,2024-11-21,58.535853,56.28703861592709,SL,27995.45,-1102.98,-3.94,1,False
RUAL,2024-11-11,2024-11-25,38.593859,36.08865133584233,SL,16551.27,-1090.39,-6.588,10,False
SNGSP,2024-11-28,2024-12-04,59.20592,56.34396487330008,SL,21783.01,-1074.23,-4.931,4,False
OZPH,2024-12-27,2024-12-30,34.853485,37.85728289309999,SL,12818.01,1717.74,13.401,2,True
TATNP,2024-12-27,2025-01-09,631.0631,631.6309936836899,SL,18025.71,361.23,2.004,6,True
